run_id,run_name,parent_run_id,backend,feature_set,status,start_time_ms,metric.h48_mae,metric.h48_rmse,metric.h48_bias,metric.persistence_mae,metric.persistence_bias,metric.persistence_rmse,metric.h48_skill_score,metric.h48_mape,param.best_ag_model,param.horizon_steps,param.n_ag_models,param.n_features,metric.h24_mae,metric.h24_bias,metric.h24_rmse,metric.h24_mape,metric.h24_skill_score,metric.h12_mae,metric.h12_skill_score,metric.h12_bias,metric.h12_rmse,metric.h12_mape,metric.h6_bias,metric.h6_skill_score,metric.h6_rmse,metric.h6_mape,metric.h6_mae,metric.h1_mape,metric.h1_rmse,metric.h1_bias,metric.h1_mae,metric.h1_skill_score,param.split.train_end,param.ag.eval_metric,param.ag.presets,param.n_test,param.n_val,param.dataset,param.split.val_start,param.horizons,param.ag.time_limit,param.data.n_rows_total,param.data.source_file,param.feature_set,param.split.val_end,param.split.test_start,param.n_features_base,param.turbine_id,param.n_train,param.split.train_start,param.domain,metric.stopped_iteration,metric.validation_0-rmse,metric.best_iteration,param.reg_lambda,param.custom_metric,param.colsample_bynode,param.gamma,param.multi_strategy,param.validate_parameters,param.max_cat_threshold,param.max_delta_step,param.monotone_constraints,param.colsample_bylevel,param.base_score,param.max_bin,param.max_depth,param.num_boost_round,param.booster,param.min_child_weight,param.learning_rate,param.early_stopping_rounds,param.objective,param.random_state,param.scale_pos_weight,param.verbosity,param.interaction_constraints,param.max_cat_to_onehot,param.num_parallel_tree,param.tree_method,param.verbose_eval,param.grow_policy,param.device,param.max_leaves,param.sampling_method,param.maximize,param.n_jobs,param.colsample_bytree,param.eval_metric,param.reg_alpha,param.subsample
590b6dc423c14306872792caa215b84a,h48,35799ca82b394e4396edb7e9f0ef1a52,autogluon,wind_full,FINISHED,1775671561648,263.0178622073019,407.76555278724334,-43.07920549776429,417.37379486409657,2.6792449758939756,627.3139621660143,0.34998170393132266,6.513242470357653,WeightedEnsemble_L3,48,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713b3494c3db425bbbc6f87db0a30b59,h24,35799ca82b394e4396edb7e9f0ef1a52,autogluon,wind_full,FINISHED,1775671198158,,,,327.45648725090376,1.2124685591250783,503.5764725707278,,,WeightedEnsemble_L3,24,8,23,224.3020933741589,-24.28267291132158,353.91639686349674,4.261616500262489,0.29719433662820927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848aca59b25045438ebf1aeae1587fe9,h12,35799ca82b394e4396edb7e9f0ef1a52,autogluon,wind_full,FINISHED,1775670831269,,,,260.0954306626125,0.625458076779375,407.2123330925337,,,WeightedEnsemble_L3,12,9,23,,,,,,195.73720875376915,0.23712555622799347,-15.796754668099494,310.65188210506767,3.415985668820832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ce50d0774dc41f2a706de427ad8998b,h06,35799ca82b394e4396edb7e9f0ef1a52,autogluon,wind_full,FINISHED,1775670469225,,,,216.36030635360632,0.3840619460049082,343.76948749319655,,,WeightedEnsemble_L3,6,9,23,,,,,,,,,,,-16.87590936531008,0.1836467310182135,280.6373448912644,3.2674034843450097,177.62957870774983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0a7b7321fd54040a16dbd6ac4998252,h01,35799ca82b394e4396edb7e9f0ef1a52,autogluon,wind_full,FINISHED,1775670160059,,,,146.07908200483135,0.12387854630233743,239.4211723070263,,,CatBoost_BAG_L2,1,10,23,,,,,,,,,,,,,,,,1.565041722082812,182.9762513602042,-29.153632280642793,112.88858360954742,0.23575576212799954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35799ca82b394e4396edb7e9f0ef1a52,kwf1-autogluon-wind_full,,autogluon,wind_full,FINISHED,1775670160020,263.0178622073019,,,,,,0.34998170393132266,,,,,,224.3020933741589,,,,0.29719433662820927,195.73720875376915,0.23712555622799347,,,,,0.1836467310182135,,,177.62957870774983,,,,112.88858360954742,0.23575576212799954,2021-05-03 09:30:00+00:00,mean_absolute_error,best_quality,95547,30785,kelmarsh,2021-05-03 09:40:00+00:00,"[1, 6, 12, 24, 48]",300,285809,data/features/kelmarsh_kwf1.parquet,wind_full,2022-05-03 09:10:00+00:00,2022-05-03 09:50:00+00:00,20,kwf1,159477,2016-05-03 09:40:00+00:00,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98d191ccdabb4d9a86693fc9df1d18fa,h48,38f85a49da6b42cb9dbf2a32a8c2dc14,xgboost,,FINISHED,1775665994643,283.20505218250935,399.0736315243157,3.3972749316991773,417.37379486409657,2.6792449758939756,627.3139621660143,0.3638374791685194,10.640567845426547,,48,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,400.24160419466165,164.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
6fe21a03d5b74ed183f8b3b06a6dcade,h24,38f85a49da6b42cb9dbf2a32a8c2dc14,xgboost,,FINISHED,1775665992091,,,,327.45648725090376,1.2124685591250783,503.5764725707278,,,,24,,23,234.8119347354614,1.7979440456507108,344.73017411248645,6.249002014211176,0.315436298378557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,344.9647037498863,206.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
48c1872622a44bf286a9faaff2eef3df,h12,38f85a49da6b42cb9dbf2a32a8c2dc14,xgboost,,FINISHED,1775665989717,,,,260.0954306626125,0.625458076779375,407.2123330925337,,,,12,,23,,,,,,205.49401659556153,0.2496130350497906,0.4483499320337846,305.5668267196001,4.76830962059915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,305.7626349354696,130.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
dbf4ea87241f4f73ba5a910d2fa26727,h06,38f85a49da6b42cb9dbf2a32a8c2dc14,xgboost,,FINISHED,1775665987265,,,,216.36030635360632,0.3840619460049082,343.76948749319655,,,,6,,23,,,,,,,,,,,-6.770354835684186,0.19490058025833323,276.76861490566273,3.885537596732742,183.67963006226788,,,,,,,,,,,,,,,,,,,,,,,,,187.0,276.9835035601785,137.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
967e7efc0abb440b8c8639c45f6dbb2d,h01,38f85a49da6b42cb9dbf2a32a8c2dc14,xgboost,,FINISHED,1775665983399,,,,146.07908200483135,0.12387854630233743,239.4211723070263,,,,1,,23,,,,,,,,,,,,,,,,1.888847708398447,182.89855235191047,-25.29330225279908,115.38554700024373,0.23608029068804726,,,,,,,,,,,,,,,,,,,,416.0,182.98458823115394,366.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
38f85a49da6b42cb9dbf2a32a8c2dc14,kwf1-wind_full,,xgboost,,FINISHED,1775665983362,283.20505218250935,,,,,,0.3638374791685194,,,,,,234.8119347354614,,,,0.315436298378557,205.49401659556153,0.2496130350497906,,,,,0.19490058025833323,,,183.67963006226788,,,,115.38554700024373,0.23608029068804726,2021-05-03 09:30:00+00:00,,,95547,30785,kelmarsh,2021-05-03 09:40:00+00:00,"[1, 6, 12, 24, 48]",,285809,data/features/kelmarsh_kwf1.parquet,wind_full,2022-05-03 09:10:00+00:00,2022-05-03 09:50:00+00:00,20,kwf1,159477,2016-05-03 09:40:00+00:00,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29f9c9fbe536477a806b6a98cdfeda74,h48,b50cf9c580024820b0c38b82731881c8,xgboost,,FINISHED,1775656958003,428.9546782923179,542.687191626946,-7.161561377794187,417.37379486409657,2.6792449758939756,627.3139621660143,0.1349033747740378,16.20320754139372,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,543.1301625569379,104.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
1a478959cc914dc889c9f5a4cff4ad5a,h24,b50cf9c580024820b0c38b82731881c8,xgboost,,FINISHED,1775656955764,,,,327.45648725090376,1.2124685591250783,503.5764725707278,,,,24,,,329.4581957482282,-14.888235813075017,445.38374170977744,10.592711707692375,0.11555887542537469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,445.6570951249498,132.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
832f1754387c430aba351ff53a20a469,h12,b50cf9c580024820b0c38b82731881c8,xgboost,,FINISHED,1775656953576,,,,260.0954306626125,0.625458076779375,407.2123330925337,,,,12,,,,,,,,255.91379784023437,0.10110561480932811,-18.746357815106947,366.04087979727217,6.833436231068809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,366.320601832678,131.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
44cfc273ad784d8eb0e341d62be5a19e,h06,b50cf9c580024820b0c38b82731881c8,xgboost,,FINISHED,1775656951276,,,,216.36030635360632,0.3840619460049082,343.76948749319655,,,,6,,,,,,,,,,,,,-20.32124789427637,0.10297958088558334,308.36824974989537,4.549851508375177,207.30747940410257,,,,,,,,,,,,,,,,,,,,,,,,,205.0,308.5578619898698,155.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
00796ac1c7c247c583b22c01f6217a60,h01,b50cf9c580024820b0c38b82731881c8,xgboost,,FINISHED,1775656948184,,,,146.07908200483135,0.12387854630233743,239.4211723070263,,,,1,,,,,,,,,,,,,,,,,,2.003451669642847,189.87297980060762,-29.540976991651824,119.37973190084047,0.20694992021373781,,,,,,,,,,,,,,,,,,,,247.0,189.98074174277693,197.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
b50cf9c580024820b0c38b82731881c8,kwf1-wind_enriched,,xgboost,,FINISHED,1775656948155,428.9546782923179,,,,,,0.1349033747740378,,,,,16,329.4581957482282,,,,0.11555887542537469,255.91379784023437,0.10110561480932811,,,,,0.10297958088558334,,,207.30747940410257,,,,119.37973190084047,0.20694992021373781,2021-05-03 09:30:00+00:00,,,95600,30785,kelmarsh,2021-05-03 09:40:00+00:00,"[1, 6, 12, 24, 48]",,285862,data/features/kelmarsh_kwf1.parquet,wind_enriched,2022-05-03 09:10:00+00:00,2022-05-03 09:50:00+00:00,,kwf1,159477,2016-05-03 09:40:00+00:00,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8194b09f07d847e4b60e0fe2269bddfe,h48,16039e6ff5d84ee180677195fba45ea3,xgboost,,FINISHED,1775652606063,432.2936474549115,545.7406124953922,-3.340834330396608,417.37379486409657,2.6792449758939756,627.3139621660143,0.13003592234574612,14.62729610865651,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,546.3541114874247,98.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
e57d0f6d2ac94366bc53be9b5346a06d,h24,16039e6ff5d84ee180677195fba45ea3,xgboost,,FINISHED,1775652603847,,,,327.45648725090376,1.2124685591250783,503.5764725707278,,,,24,,,333.56209771573646,-13.37553178707777,449.85027654741623,10.762444574353715,0.10668924969636195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,450.03783404257587,139.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
6e9ac48bf5b54265ba29e8f4fb324739,h12,16039e6ff5d84ee180677195fba45ea3,xgboost,,FINISHED,1775652601748,,,,260.0954306626125,0.625458076779375,407.2123330925337,,,,12,,,,,,,,259.3693227670274,0.09104596577098323,-17.842808258428697,370.13729295226864,7.111873940763076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,370.5930163079512,140.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
9900597cef8a411a9331c52fe8ea53f6,h06,16039e6ff5d84ee180677195fba45ea3,xgboost,,FINISHED,1775652599669,,,,216.36030635360632,0.3840619460049082,343.76948749319655,,,,6,,,,,,,,,,,,,-18.797823862156847,0.09695074353795008,310.44078007507113,4.657329848596564,209.56607020363396,,,,,,,,,,,,,,,,,,,,,,,,,162.0,310.7218082588987,112.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
c0e675343c644ab8b9741a42df000395,h01,16039e6ff5d84ee180677195fba45ea3,xgboost,,FINISHED,1775652596899,,,,146.07908200483135,0.12387854630233743,239.4211723070263,,,,1,,,,,,,,,,,,,,,,,,1.9838132492517537,190.8765037516066,-28.498616337376788,120.18314964810824,0.2027584615330824,,,,,,,,,,,,,,,,,,,,211.0,190.93164319889013,161.0,None,None,None,None,None,None,None,None,None,None,None,None,6,500,None,10,0.05,50,reg:squarederror,None,None,None,None,None,None,hist,False,None,None,None,None,None,None,0.8,None,None,0.8
16039e6ff5d84ee180677195fba45ea3,kwf1-wind_baseline,,xgboost,,FINISHED,1775652596881,432.2936474549115,,,,,,0.13003592234574612,,,,,11,333.56209771573646,,,,0.10668924969636195,259.3693227670274,0.09104596577098323,,,,,0.09695074353795008,,,209.56607020363396,,,,120.18314964810824,0.2027584615330824,2021-05-03 09:30:00+00:00,,,95600,30785,kelmarsh,2021-05-03 09:40:00+00:00,"[1, 6, 12, 24, 48]",,285862,data/features/kelmarsh_kwf1.parquet,wind_baseline,2022-05-03 09:10:00+00:00,2022-05-03 09:50:00+00:00,,kwf1,159477,2016-05-03 09:40:00+00:00,wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
